床前明月光，\r疑是地上霜。\r举头望明月，\r低头思故乡。\r	jysi
横眉冷对千夫指	hmlv
害人之心不可有	hrvy
皇天不负有心人	htbr
横挑鼻子竖挑眼	htby
回头一笑百媚生	hty_
好心当成驴肝肺	hxdf
春蚕到死丝方尽	icdj
船到江心补漏迟	idji
拆东墙，补西墙	idqq
船到桥头自然直	idqv
车到山前必有路	idul
长风破浪会有时	ifpu
窗户纸一点就破	ihvp
赤橙黄绿青蓝紫	iihz
长江后浪推前浪	ijhl
柴米油盐酱醋茶	imyi
除却巫山不是云	iqwy
秤砣虽小压千斤	itsj
初生牛犊不怕虎	iunh
成者王侯败者寇	ivwk
朝中有人好做官	ivyg
吃一堑，长一智	iyqv
酒逢知己千杯少	jfvu
计划没有变化快	jhmk
敬酒不吃吃罚酒	jjbj
解铃还须系铃人	jlhr
既来之，则安之	jlvv
拒人于千里之外	jryw
江山代有才人出	judi
近水楼台先得月	july
绝知此事要躬行	jvcx
今朝有酒今朝醉	jvyz
酒香不怕巷子深	jxbu
经一事，长一智	jyuv
君子动口不动手	jzdu
开弓没有回头箭	kgmj
可与人言无二三	kyrs
柳暗花明又一村	lahc
来得容易去得快	ldrk
来而不往非礼也	leby
老而不死是为贼	lebz
两耳不闻窗外事	lebu
老虎屁股摸不得	lhpd
脸朝黄土背朝天	liht
蜡炬成灰泪始干	ljig
路漫漫其修远兮	lmmx
临死拉个垫背的	lsld
雷声大，雨点小	ludx
龙生九子各不同	lujt
来无影，去无踪	lwyz
浪子回头金不换	lzhh
老子英雄儿好汉	lzyh
面不改色心不跳	mbgt
磨刀不误砍柴工	mdbg
莫管他人瓦上霜	mgtu
梅花香自苦寒来	mhxl
猫哭耗子假慈悲	mkhb
买卖不成仁义在	mmbz
眉毛胡子一把抓	mmhv
冒天下之大不韪	mtxw
满招损，谦受益	mvsy
没有免费的午餐	mymc
没有不透风的墙	mybq
没有不散的筵席	mybx
牛不喝水强按头	nbht
男儿膝下有黄金	nexj
男儿有泪不轻弹	neyt
哪管他人瓦上霜	ngtu
哪壶不开提哪壶	nhbh
拿了鸡毛当令箭	nljj
哪凉快哪呆着去	nlkq
年年岁岁花相似	nns_
拿着鸡毛当令箭	nvjj
宁夏回族自治区	nxhq
赔了夫人又折兵	plfb
求大同，存小异	qdty
清官难断家务事	qgnu
桥归桥，路归路	qgql
千金散尽还复来	qjsl
强将手下无弱兵	qjub
娶了媳妇忘了娘	qlxn
千里姻缘一线牵	qlyq
墙内开花墙外香	qnkx
前怕狼，后怕虎	qplh
穷山恶水出刁民	quem
请神容易送神难	qurn
强中更有强中手	qvgu
强中自有强中手	qvzu
惹不起还躲不起	rbqq
人怕出名猪怕壮	rpiv
人之初，性本善	rviu
人心不足蛇吞象	rxbx
三个和尚没水吃	sghi
四海之内皆兄弟	shvd
三句话不离本行	sjhh
岁岁年年人不同	ssnt
三岁小孩都知道	ssxd
三天三夜说不完	stsw
死猪不怕开水烫	svbt
色字头上一把刀	sztd
听不进不同意见	tbjj
跳到黄河洗不清	tdhq
偷鸡不着蚀把米	tjbm
跳进黄河洗不清	tjhq
听其言而观其行	tqyx
天若有情天亦老	tryl
条条大路通罗马	ttdm
剃头挑子一头热	tttr
天上不会掉馅饼	tubb
同是天涯沦落人	tutr
天生我材必有用	tuwy
天王老子都不怕	twlp
天下乌鸦一般黑	txwh
太阳从西边出来	tycl
胜不骄，败不馁	ubjn
失败是成功之母	ubum
说的比唱的好听	udbt
上刀山，下火海	uduh
书到用时方恨少	udyu
山重水复疑无路	uiul
圣基茨和尼维斯	ujcs
伤筋动骨一百天	ujdt
神龙见首不见尾	uljw
山穷水尽疑无路	uqul
瘦死骆驼比马大	usld
伸手不打笑脸人	uubr
说时迟，那时快	uuik
上山容易下山难	uurn
识时务者为俊杰	uuwj
胜者为王败者寇	uvwk
身无彩凤双飞翼	uwcy
扇阴风，点鬼火	uyfh
师夷长技以制夷	uyiy
树欲静而风不止	uyjv
事因经过始知难	uyjn
山雨欲来风满楼	uyyl
身在福中不知福	uzff
中华人民共和国	vhrg
知其不可而为之	vqbv
众人拾柴火焰高	vrug
知人知面不知心	vrvx
纸上得来终觉浅	vudq
只是当时已惘然	vudr
这山望着那山高	vuwg
占着茅坑不拉屎	vvmu
只重衣衫不重人	vvyr
睁着眼睛说瞎话	vvyh
只羡鸳鸯不羡仙	vxyx
只缘身在此山中	vyuv
只因未到伤心处	vywi
吾将上下而求索	wjus
无可奈何花落去	wknq
为他人作嫁衣裳	wtru
勿以恶小而为之	wyev
勿以善小而不为	wyuw
为伊消得人憔悴	wyxc
小不忍则乱大谋	xbrm
相逢何必曾相识	xfhu
相逢一笑泯恩仇	xfyi
新官上任三把火	xguh
鲜花插在牛粪上	xhiu
咸吃萝卜淡操心	xilx
雄赳赳，气昂昂	xjja
新加坡国立大学	xjpx
挟天子以令诸侯	xtzh
新账老账一起算	xvls
心有灵犀一点通	xylt
心有余而力不足	xyyz
一把鼻涕一把泪	ybbl
一步错，步步错	ybcc
眼不见，心不烦	ybjf
语不惊人死不休	ybjx
犹抱琵琶半遮面	ybpm
玉不琢，不成器	ybvq
言必信，行必果	ybxg
一不做，二不休	ybzx
一寸光阴一寸金	ycgj
一而再，再而三	yezs
一个巴掌拍不响	ygbx
一个萝卜一个坑	yglk
有过之而无不及	ygvj
一将功成万骨枯	yjgk
远近高低各不同	yjgt
一哭二闹三上吊	yked
一块石头落了地	ykud
远来和尚好看经	ylhj
羊毛出在羊身上	ymiu
有其父必有其子	yqfz
一切尽在不言中	yqjv
有钱能使鬼推磨	yqnm
一日夫妻百日恩	yrfe
月如无恨月长圆	yrwy
一失足成千古恨	yuzh
眼中钉，肉中刺	yvdc
英雄难过美人关	yxng
一心只读圣贤书	yxvu
英雄无用武之地	yxwd
有一利必有一弊	yylb
有缘千里来相会	yyqh
冤有头，债有主	yytv
最毒不过妇人心	zdbx
醉翁之意不在酒	zwvj
宰相肚里能撑船	zxdi
子欲养而亲不在	zyyz
哀莫大于心死	amds
不登大雅之堂	bddt
不费吹灰之力	bfil
不分青红皂白	bfqb
不费一兵一卒	bfyz
不够塞牙缝的	bgsd
八竿子打不着	bgzv
北京师范大学	bjux
不可同日而语	bkty
毕其功于一役	bqgy
不如退而结网	brtw
不如授人以渔	bruy
